id,platform,title,url,difficulty,rating,topics,patterns,companies,level,status
leetcode-323-number-of-connected-components-in-an-undirected-graph,leetcode,"Number of Connected Components in an Undirected Graph",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,medium,1300,graphs,union find,amazon;google;meta;microsoft,intermediate,unseen
leetcode-73-set-matrix-zeroes,leetcode,"Set Matrix Zeroes",https://leetcode.com/problems/set-matrix-zeroes/,medium,1300,matrices,in-place,amazon;google;meta;microsoft,intermediate,unseen
leetcode-54-spiral-matrix,leetcode,"Spiral Matrix",https://leetcode.com/problems/spiral-matrix/,medium,1300,matrices,simulation,amazon;google;meta;microsoft,intermediate,unseen
leetcode-271-encode-and-decode-strings,leetcode,"Encode and Decode Strings",https://leetcode.com/problems/encode-and-decode-strings/,medium,1300,strings,delimiter encoding,amazon;google;meta;microsoft,intermediate,unseen
leetcode-98-validate-binary-search-tree,leetcode,"Validate Binary Search Tree",https://leetcode.com/problems/validate-binary-search-tree/,medium,1300,trees;bst,inorder bounds,amazon;google;meta;microsoft,intermediate,unseen
leetcode-235-lowest-common-ancestor-of-a-binary-search-tree,leetcode,"Lowest Common Ancestor of a Binary Search Tree",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,medium,1300,trees;bst,bst walk,amazon;google;meta;microsoft,intermediate,unseen
leetcode-199-binary-tree-right-side-view,leetcode,"Binary Tree Right Side View",https://leetcode.com/problems/binary-tree-right-side-view/,medium,1300,trees,bfs levels,amazon;google;meta;microsoft,intermediate,unseen
leetcode-1448-count-good-nodes-in-binary-tree,leetcode,"Count Good Nodes in Binary Tree",https://leetcode.com/problems/count-good-nodes-in-binary-tree/,medium,1300,trees,dfs,amazon;google;meta;microsoft,intermediate,unseen
leetcode-2-add-two-numbers,leetcode,"Add Two Numbers",https://leetcode.com/problems/add-two-numbers/,medium,1300,linked-lists,carry simulation,amazon;google;meta;microsoft,intermediate,unseen
sheet-maximum-product-subarray,leetcode,"Maximum Product Subarray",https://leetcode.com/problems/maximum-product-subarray/,medium,1300,arrays,kadane,microsoft,intermediate,unseen
sheet-sum-of-two-integers,leetcode,"Sum of Two Integers",https://leetcode.com/problems/sum-of-two-integers/,medium,1300,bit-manipulation,bitwise,microsoft,intermediate,unseen
sheet-house-robber,leetcode,"House Robber",https://leetcode.com/problems/house-robber/,medium,1300,dynamic-programming,1D DP,microsoft,intermediate,unseen
sheet-jump-game,leetcode,"Jump Game",https://leetcode.com/problems/jump-game/,medium,1300,arrays;greedy,greedy,microsoft,intermediate,unseen
sheet-number-of-islands,leetcode,"Number of Islands",https://leetcode.com/problems/number-of-islands/,medium,1300,graphs,bfs shortest path;dfs connected components,amazon;microsoft,intermediate,unseen
sheet-number-of-connected-components-in-an-undirected-graph,leetcode,"Number of Connected Components in an Undirected Graph",https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,medium,1300,graphs,union find,microsoft,intermediate,unseen
